id,nombre,apellido,email,ciudad,edad,telefono
1,Juan,Perez,juan@gmail.com,Bogota,25.0,3001234567
2,Maria,Gomez,maria@gmail.com,Medellin,19.0,301 2345678
3,Carlos,Lopez,carlos@gmail.com,Cali,34.0,Abc123456
4,Ana,Rodriguez,ana@mail,Bogota,17.0,3009876543
5,Luis,Martinez,luis@gmail.com,Barranquilla,40.0,
6,Pedro,Ramirez,pedro@mail.com,Bogota,28.0,3104567890
7,Luisa,Fernandez,luisa@gmail,Medellin,22.0,300-123-4567
8,Sara,Gutierrez,sara@gmail.com,Cali,31.0,3207654321
9,Sofia,Hernandez,sofia@gmail.com,Bogota,18.0,0
10,Andres,Torres,andres@mail.com,Cartagena,45.0,3005556677
11,Paula,Vargas,paula@mail.com,Bogota,27.0,3011111111
12,Camilo,Ruiz,,Medellin,33.0,3002223333
13,Valentina,Castro,valentina@mail.com,Cali,28.11,Notphone
14,Diego,Ortega,diego@gmail,Bogota,29.0,3004445555
15,Laura,Morales,laura@mail.com,Barranquilla,35.0,3112223344
16,Sebastian,Arias,sebastian@gmail.com,Bogota,26.0,3001231234
17,Andrea,Mejia,andrea@mail.com,Medellin,20.0,3010000000
18,Jorge,Silva,jorge@mail.com,Cali,38.0,3023334444
19,Camila,Romero,camila@gmail,Barranquilla,24.0,Invalid
20,Felipe,Navarro,felipe@mail.com,Bogota,30.0,3200000000
21,Roberto,Acosta,roberto@gmail.com,Medellin,41.0,3009998888
22,Sara,Quintero,sara@gmail.com,Cali,23.0,3011239876
23,Sara,Quintero,sara@gmail.com,Cali,23.0,3011239876
24,Diana,Pena,diana@mail,Bogota,36.0,0
25,Alberto,Suarez,alberto@gmail.com,Medellin,50.0,3007776666
26,Julian,Rios,julian@mail.com,Cali,26.0,3001112222
27,Paola,Cardenas,paola@gmail,Barranquilla,19.0,Phone123
28,Miguel,Lopez,miguel@gmail.com,Bogota,32.0,3002221111
29,Miguel,Lopez,miguel@gmail.com,Bogota,32.0,3002221111
30,Carolina,Velez,carolina@mail.com,Medellin,27.0,3005550000
31,Daniel,Parra,daniel@mail.com,Cali,34.0,3008889999
32,Lina,Garcia,lina@gmail.com,Bogota,22.0,3019990000
33,Oscar,Duarte,oscar@gmail.com,Cartagena,44.0,3001110000
34,Fernanda,Castillo,fernanda@mail.com,Medellin,29.0,3000001111
35,Andrea,Gomez,andrea@gmail.com,Bogota,28.11,3011110000
36,Kevin,Mendez,kevin@mail.com,Medellin,26.0,3123456789
37,Lucia,Prieto,lucia@gmail,Cali,18.0,000000
38,Esteban,Marin,esteban@mail.com,Bogota,33.0,3001239999
39,Santiago,Lopez,santiago@mail.com,Bogota,37.0,3012223333
40,Andrea,Rojas,andrea@gmail.com,Medellin,25.0,3003334444
41,Juan,Perez,juan@gmail.com,Bogota,25.0,3001234567
42,Maria,Gomez,maria@gmail.com,Medellin,19.0,3012345678
43,Carlos,Lopez,carlos@gmail.com,Cali,34.0,Abc123456
44,Ana,Rodriguez,ana@gmail.com,Bogota,17.0,3009876543
45,Luis,Martinez,luis@gmail.com,Barranquilla,40.0,0
46,Pedro,Ramirez,pedro@mail.com,Bogota,28.0,3104567890
47,Luisa,Fernandez,luisa@gmail.com,Medellin,22.0,3001234567
48,Sara,Gutierrez,sara@gmail.com,Cali,31.0,3207654321
49,Sofia,Hernandez,sofia@gmail.com,Bogota,18.0,0
50,Paula,Vargas,paula@mail.com,Bogota,27.0,3011111111
51,Paula,Vargas,paula@mail.com,Bogota,27.0,3011111111
52,Camilo,Ruiz,camilo@gmail.com,Medellin,33.0,3002223333
53,Valentina,Castro,valentina@mail.com,Cali,21.0,Notphone
54,Diego,Ortega,diego@gmail.com,Bogota,29.0,3004445555
55,Laura,Morales,laura@mail.com,Barranquilla,35.0,3112223344
56,Sebastian,Arias,sebastian@gmail.com,Bogota,26.0,3001231234
57,Andrea,Mejia,andrea@mail.com,Medellin,20.0,3010000000
58,Jorge,Silva,jorge@mail.com,Cali,38.0,3023334444
59,Camila,Romero,camila@gmail.com,Barranquilla,24.0,Invalid
60,Felipe,Navarro,felipe@mail.com,Bogota,30.0,3200000000
61,Roberto,Acosta,roberto@gmail.com,Medellin,41.0,3009998888
62,Sara,Quintero,sara@gmail.com,Cali,40.0,3011239876
63,Sara,Quintero,sara@gmail.com,Cali,23.0,3011239876
64,Diana,Pena,diana@mail.com,Bogota,36.0,0
65,Alberto,Suarez,alberto@gmail.com,Medellin,50.0,3007776666
66,Julian,Rios,julian@mail.com,Cali,28.0,3001112222
67,Paola,Cardenas,paola@gmail.com,Barranquilla,19.0,Phone123
68,Miguel,Lopez,miguel@gmail.com,Bogota,32.0,3002221111
69,Miguel,Lopez,miguel@gmail.com,Bogota,32.0,3002221111
70,Carolina,Velez,carolina@mail.com,Medellin,27.0,3005550000
71,Daniel,Parra,daniel@mail.com,Cali,34.0,3008889999
72,Lina,Garcia,lina@gmail.com,Bogota,22.0,0
73,Oscar,Duarte,oscar@gmail.com,Cartagena,44.0,3001110000
74,Fernanda,Castillo,fernanda@mail.com,Medellin,28.11,3000001111
75,Andrea,Gomez,andrea@gmail.com,Bogota,28.11,3011110000
76,Kevin,Mendez,kevin@mail.com,Medellin,26.0,3123456789
77,Lucia,Prieto,lucia@gmail.com,Cali,18.0,000000
78,Esteban,Marin,esteban@mail.com,Bogota,33.0,3001239999
79,Santiago,Lopez,santiago@mail.com,Bogota,37.0,3012223333
80,Andrea,Rojas,andrea@gmail.com,Medellin,25.0,3003334444
81,Juan,Perez,juan@gmail.com,Bogota,25.0,3001234567
82,Maria,Gomez,maria@gmail.com,Medellin,19.0,3012345678
83,Carlos,Lopez,carlos@gmail.com,Cali,34.0,Abc123456
84,Ana,Rodriguez,ana@gmail.com,Bogota,17.0,3009876543
85,Luis,Martinez,luis@gmail.com,Barranquilla,40.0,0
86,Pedro,Ramirez,pedro@mail.com,Bogota,28.0,3104567890
87,Luisa,Fernandez,luisa@gmail.com,Medellin,22.0,3001234567
88,Sara,Gutierrez,sara@gmail.com,Cali,31.0,3207654321
89,Sofia,Hernandez,sofia@gmail.com,Bogota,18.0,0
90,Andres,Torres,andres@mail.com,Cartagena,45.0,3005556677
91,Paula,Vargas,,Bogota,27.0,3011111111
92,Camilo,Ruiz,camilo@gmail.com,Bogota,33.0,3002223333
93,Valentina,Castro,valentina@mail.com,Cali,21.0,Notphone
94,Diego,Ortega,diego@gmail.com,Bogota,29.0,3004445555
95,Laura,Morales,laura@mail.com,Barranquilla,35.0,3112223344
96,Sebastian,Arias,sebastian@gmail.com,Bogota,26.0,3001231234
97,Andrea,Mejia,andrea@mail.com,Medellin,40.0,3010000000
98,Jorge,Silva,jorge@mail.com,Bogota,38.0,3023334444
99,Camila,Romero,camila@gmail.com,Bogota,24.0,0
