id,compras,producto,cantidad,nombre,apellido,email,ciudad,edad,telefono
1,2000,chicle,2,Juan,Perez,juan@gmail.com,Bogota,25.0,3001234567
2,3500,chocolate,1,Maria,Gomez,maria@gmail.com,Medellin,19.0,301 2345678
3,1500,caramelo,3,Carlos,Lopez,carlos@gmail.com,Cali,34.0,Abc123456
4,1500,chicle,5,Ana,Rodriguez,ana@mail,Bogota,17.0,3009876543
5,4000,galleta,1,Luis,Martinez,luis@gmail.com,Barranquilla,40.0,
6,8000,chocolate,2,Pedro,Ramirez,pedro@mail.com,Bogota,28.0,3104567890
7,1000,bombon,4,Luisa,Fernandez,luisa@gmail,Medellin,22.0,300-123-4567
8,70000,galleta,10,Sara,Gutierrez,sara@gmail.com,Cali,31.0,3207654321
9,2500,chocolate,2,Sofia,Hernandez,sofia@gmail.com,Bogota,18.0,0
10,500,paleta,10,Andres,Torres,andres@mail.com,Cartagena,45.0,3005556677
11,1800,chicle,1,Paula,Vargas,paula@mail.com,Bogota,27.0,3011111111
12,3200,galleta,2,Camilo,Ruiz,,Medellin,33.0,3002223333
13,1200,gomitas,1,Valentina,Castro,valentina@mail.com,Cali,28.11,Notphone
14,$9000,chocolate,1,Diego,Ortega,diego@gmail,Bogota,29.0,3004445555
15,1300,candy,3,Laura,Morales,laura@mail.com,Barranquilla,35.0,3112223344
16,$7500,chocolate,1,Sebastian,Arias,sebastian@gmail.com,Bogota,26.0,3001231234
17,1600,malvavisco,2,Andrea,Mejia,andrea@mail.com,Medellin,20.0,3010000000
18,7000,galleta,1,Jorge,Silva,jorge@mail.com,Cali,38.0,3023334444
19,2800,chocolate,1,Camila,Romero,camila@gmail,Barranquilla,24.0,Invalid
20,9500,caja dulces,1,Felipe,Navarro,felipe@mail.com,Bogota,30.0,3200000000
21,120000,caja dulces,10,Roberto,Acosta,roberto@gmail.com,Medellin,41.0,3009998888
22,900,chicle,2,Sara,Quintero,sara@gmail.com,Cali,23.0,3011239876
23,1300,bombon,1,Sara,Quintero,sara@gmail.com,Cali,23.0,3011239876
24,1400,gomitas,2,Diana,Pena,diana@mail,Bogota,36.0,0
25,15000,caja dulces,1,Alberto,Suarez,alberto@gmail.com,Medellin,50.0,3007776666
26,1600,gomitas,3,Julian,Rios,julian@mail.com,Cali,26.0,3001112222
27,3000,chocolate,1,Paola,Cardenas,paola@gmail,Barranquilla,19.0,Phone123
28,1350,candy,2,Miguel,Lopez,miguel@gmail.com,Bogota,32.0,3002221111
29,2000,chicle,1,Miguel,Lopez,miguel@gmail.com,Bogota,32.0,3002221111
30,4500,galleta,1,Carolina,Velez,carolina@mail.com,Medellin,27.0,3005550000
